date_received,date_returned
2010-04-18,1928-07-31
2005-08-16,1947-05-25
1997-09-20,2011-07-14
2003-12-06,1916-01-26
1900-11-16,1930-02-26
2012-08-14,1969-02-25
1955-11-17,1975-02-12
1942-09-23,1980-06-08
1980-10-20,2009-12-06
2005-05-29,1930-08-10
1921-12-14,1956-11-11
1984-05-16,1910-03-13
1939-06-18,1913-04-09
1961-05-14,1913-11-28
1935-02-17,1966-02-26
1946-02-11,1932-01-20
1968-12-10,1973-03-05
1984-10-16,1932-03-12
2003-08-31,1903-01-20
1903-03-08,1957-04-13
1993-08-13,1961-10-15
1937-01-08,1957-02-12
1923-11-16,2009-05-03
1968-01-08,1967-07-12
1937-10-26,1927-07-04
1936-03-27,1921-03-15
2004-09-05,1968-01-07
1900-03-27,2003-05-13
1917-04-29,2009-06-19
1950-12-21,1945-03-25
1988-03-02,1992-06-21
2003-06-25,1924-04-23
1905-10-30,1903-06-06
1942-12-04,1913-12-26
1969-05-07,1965-12-29
1941-04-14,1930-06-16
1928-08-22,1901-02-04
2008-08-29,1906-07-01
1913-02-02,1939-07-27
1975-12-26,1912-10-04
1967-02-11,1993-03-19
2008-02-12,1987-09-25
1975-08-29,1920-11-28
1908-10-06,1969-06-12
1973-08-19,1973-03-07
1939-05-17,1989-11-23
2002-12-16,1906-03-11
1946-06-07,1912-07-27
1911-07-02,2012-06-10
1947-02-07,1913-09-08
1913-01-11,1987-09-22
1960-09-01,1940-01-28
1982-08-12,1925-03-16
1921-07-14,1937-02-12
2018-05-21,2018-03-03
1914-03-02,1900-02-13
1978-04-23,1954-02-28
1931-07-04,1944-05-12
1913-05-04,1995-04-26
1973-04-14,1997-09-12
1935-01-28,1985-03-31
1938-06-19,1984-11-30
1975-03-26,1948-08-11
1913-12-11,1981-04-01
2021-03-11,1981-03-14
1961-04-10,2007-02-22
1922-01-27,1984-05-29
1930-02-09,1901-11-23
1996-06-17,1920-02-26
1951-10-10,1966-06-11
2011-04-02,1907-02-09
1970-06-13,1908-11-19
1902-05-21,1997-12-17
1904-10-17,1972-01-31
1971-07-15,1993-05-17
2009-08-21,1960-04-06
2008-06-21,1931-07-19
2013-02-09,2005-11-03
1976-07-14,1949-02-13
1961-04-12,1983-04-06
2016-07-13,2006-05-10
1970-07-19,1994-08-05
1937-01-15,1960-04-18
1980-07-29,1928-02-18
1957-05-23,1985-05-10
1944-03-21,1921-01-30
1905-03-19,2019-10-02
1982-12-04,1967-04-14
1930-08-26,1933-10-12
1951-08-08,1969-06-30
1976-08-20,1939-07-26
2020-01-24,1989-08-04
1937-05-12,2019-09-08
2007-09-05,1937-09-02
2015-11-21,1948-08-20
1914-07-11,1915-10-26
2000-04-07,2019-09-21
1959-01-19,1950-09-02
1993-11-07,1980-04-19
1995-10-19,1928-06-29
1904-11-29,1919-10-28
1903-12-23,1947-01-12
1919-07-12,2006-08-16
1903-06-22,1998-10-04
2004-02-21,1923-05-26
1954-04-19,1952-01-22
1931-11-08,1903-10-22
1936-09-13,1952-05-14
1941-04-19,1973-07-13
1973-11-11,1960-06-17
1924-10-02,2006-01-26
2003-08-01,1937-06-26
2006-03-19,2019-07-22
1926-05-08,1920-01-13
1936-08-14,1935-07-19
1902-01-06,1978-12-22
2008-04-12,1921-06-12
2012-05-27,1921-05-24
1997-03-11,1980-07-30
1932-01-24,1906-05-22
1953-01-06,2017-06-27
1974-10-07,1952-06-04
1906-02-07,1952-04-19
2018-08-05,1996-01-17
1951-04-14,2006-06-01
1928-05-06,1948-07-16
1989-12-07,1962-03-04
1965-03-13,1964-04-25
2010-06-23,1943-10-13
1938-07-21,1902-03-15
1960-08-18,2021-08-31
2013-12-13,1910-02-27
2015-01-02,1904-07-31
1957-02-07,1967-01-26
1953-05-25,2016-10-19
1971-12-25,1970-08-12
1994-12-25,1972-07-23
1927-03-23,1985-10-22
1954-09-23,1984-06-27
1970-04-04,1922-10-26
2019-03-27,1919-11-17
1983-10-17,1987-01-17
1988-04-21,1964-01-29
1967-09-23,1907-08-16
1948-12-09,1933-08-26
1912-02-10,2013-05-31
1949-06-16,2010-12-25
1981-12-29,1996-03-18
1970-06-03,1965-09-20
1962-01-01,2014-11-06
1909-01-27,2014-02-08
1991-03-22,1912-12-06
1979-01-26,1903-02-21
2022-04-03,1941-03-20
1994-03-15,1930-11-03
1926-08-24,1976-10-13
2012-05-16,2015-08-11
1936-01-28,1991-04-18
1993-09-26,2008-06-26
2006-06-01,1954-12-11
1976-07-25,2004-10-01
1940-09-05,1980-03-31
1937-07-28,1917-08-23
1923-12-10,1939-11-14
2013-01-05,1947-10-13
1990-05-21,1902-03-18
1995-05-07,2000-06-29
1964-10-23,1926-04-12
1938-06-14,1980-11-16
1948-08-25,2014-05-07
1936-03-04,1953-04-06
1917-05-17,1981-07-19
1912-11-11,1972-08-09
1959-11-10,1932-12-15
2006-09-12,1917-10-20
2022-06-05,1912-08-02
1941-04-22,1902-03-02
2000-02-05,2007-10-15
1921-04-10,1981-02-20
1996-02-11,1939-09-21
1927-06-05,1912-07-05
1922-10-30,1992-11-10
1996-05-08,1927-12-19
1917-03-15,1978-07-08
1939-08-11,1975-07-08
1966-10-13,1916-10-24
1942-08-20,1913-10-06
1972-02-09,1938-07-11
2006-08-01,2011-08-10
2007-03-20,1922-05-18
1968-07-30,2013-04-16
1931-12-07,2007-11-01
2005-12-13,1954-06-13
1918-04-19,1936-07-12
1908-02-16,1941-12-10
1946-08-02,1962-03-14
1948-08-26,1950-12-26
1934-01-11,1965-12-21
1912-03-13,1990-12-18
1919-04-01,2004-06-19
2006-10-10,2007-05-30
1994-10-04,2006-06-02
1941-06-30,1983-06-26
1910-06-28,1934-05-18
1960-08-21,1904-05-12
1926-12-20,2019-11-15
1942-08-17,1951-01-26
1907-06-11,1928-07-31
1922-02-02,1932-08-20
1955-02-11,1921-04-28
1936-08-31,1905-06-16
1987-03-01,2000-06-28
1916-03-11,1946-04-09
2002-11-18,1966-07-05
1972-04-06,1986-04-10
1918-08-13,2003-01-24
1978-05-07,1971-01-13
1912-10-07,1945-03-25
2000-09-25,2006-03-06
1972-04-11,1979-01-29
1910-03-06,1958-04-19
1985-05-14,1906-09-22
2018-12-04,1993-10-25
2008-07-30,1958-03-04
1969-11-05,1932-06-01
1980-08-28,2015-05-16
1908-01-27,1904-09-05
1930-10-13,2013-11-12
1989-11-13,2014-10-18
2019-10-08,2020-10-12
1987-05-16,2021-09-13
1910-04-26,1943-11-16
1942-03-23,1903-04-25
1930-06-20,1980-05-30
1903-09-19,1972-12-29
1955-02-06,1969-10-15
1995-10-06,2004-12-30
1969-10-15,1933-12-20
1902-05-11,2005-06-07
1973-08-01,1992-11-22
1994-01-21,2011-09-17
1910-02-28,1969-05-06
1919-12-03,1999-01-11
2019-01-20,1919-09-09
2002-03-17,1943-06-11
2017-04-12,1903-09-13
1986-04-07,1957-04-01
1950-10-22,1986-10-18
1998-11-19,1912-09-26
1938-09-16,1961-11-06
1923-11-20,1966-07-17
1941-06-08,1998-04-13
1950-12-01,1938-05-10
1996-10-08,1930-02-25
2012-03-30,1997-06-02
1940-02-01,1935-07-08
1946-09-01,1952-11-05
1906-08-13,1951-09-02
1969-04-01,1938-06-09
1991-05-01,1959-11-03
1975-02-25,1934-05-30
1990-03-13,1969-02-08
1945-06-27,1955-04-06
1984-09-04,1936-08-22
1925-10-03,1934-09-20
2013-10-13,2003-10-15
1997-06-28,1985-01-17
2004-05-11,1976-06-11
1978-07-21,2022-02-04
1960-09-05,1929-07-03
1967-08-29,1914-02-09
2010-06-05,2000-06-10
1950-12-31,1983-06-15
1962-10-10,1931-12-31
2015-03-19,1920-05-16
1904-12-25,1975-11-20
1965-10-31,1926-03-11
1931-02-08,1935-09-26
1976-04-24,2005-05-26
2002-04-29,2015-09-25
2013-10-27,2012-12-08
1984-12-21,1951-02-22
1962-02-28,1988-09-13
1909-03-13,1926-08-30
1971-06-05,1940-09-23
1931-04-26,2018-05-06
1909-05-19,1932-10-15
1900-03-09,1961-06-01
1981-05-19,2005-07-10
1929-08-20,2003-07-11
1944-09-17,1935-07-22
1917-05-08,1902-07-18
1977-12-29,1946-02-25
2020-01-03,1982-11-23
2019-05-07,1923-11-01
1990-03-11,2004-08-22
1957-06-04,1970-10-13
1952-04-05,1946-04-09
1966-03-27,1909-03-07
2003-01-29,1928-07-11
1993-08-19,1907-08-03
1908-12-18,1927-01-01
1941-01-14,1902-03-23
1973-01-22,1941-08-23
1931-04-14,1930-06-11
1994-02-07,1918-11-23
1914-02-18,1913-08-07
1992-08-31,1997-04-30
2013-09-02,1962-07-01
1913-08-14,1966-08-25
1900-12-19,2019-05-20
1922-08-07,2004-09-09
1932-01-13,2003-12-13
1966-12-21,2006-09-05
1948-01-07,1945-10-01
1958-09-21,1973-04-19
2021-04-28,1968-04-22
1929-05-12,1994-03-29
1924-12-04,1957-12-17
1968-07-13,1912-12-29
1914-02-13,2015-10-02
1949-07-21,1970-11-01
1901-08-17,1920-11-10
1956-08-06,2020-11-25
2001-09-16,2009-11-13
1989-11-07,1928-01-01
1909-08-26,1989-09-03
1986-08-26,2006-01-29
1914-02-08,1978-05-07
1923-04-17,1986-03-21
1968-12-08,2021-08-09
1902-01-08,1983-12-27
1971-09-24,1940-06-25
1916-01-20,1926-01-16
2007-04-14,1976-07-04
1906-11-16,1952-11-30
1901-07-07,1920-09-05
2019-01-12,2011-08-24
1982-05-09,1946-07-31
1906-05-30,1915-12-01
2018-09-23,2003-07-12
1971-11-24,1955-01-17
2006-10-05,1960-03-31
1960-05-07,1962-04-22
1909-11-21,1984-03-26
2000-08-20,1994-05-21
1926-11-02,1926-11-05
1919-02-16,1975-07-14
1979-10-21,2018-02-02
1911-06-11,1994-02-06
1945-11-10,1933-11-16
1969-12-29,1937-09-30
1903-09-14,2014-09-22
2002-09-10,1942-03-06
1980-09-01,1937-06-19
1928-02-27,1912-05-29
2017-02-28,1963-04-14
2014-07-16,1946-09-06
1974-06-22,1919-11-22
1936-06-16,2014-06-04
1963-07-05,2022-07-20
1939-05-10,1947-12-28
1914-04-11,1961-11-05
1958-06-02,1960-03-28
1912-03-06,1953-07-11
2019-02-11,1905-06-16
1935-02-08,1919-10-08
1972-08-07,1972-01-15
1948-04-07,1943-06-19
1972-10-13,1998-08-29
1901-01-20,2022-03-27
1968-03-07,1947-10-03
2016-12-04,1986-10-21
1941-04-26,1912-05-07
2014-07-26,1906-06-28
1920-02-24,1999-10-19
1934-09-24,2010-07-09
1940-03-05,1930-08-16
2007-12-05,2013-12-26
1990-09-21,1926-04-29
1912-11-30,1963-06-12
1993-03-12,1980-03-14
2001-05-11,1988-01-26
1932-09-05,1956-11-21
2018-11-03,1996-03-18
2020-04-29,1948-05-03
1925-10-23,1929-09-14
2021-07-04,1963-06-10
1907-11-01,1927-06-16
1995-12-09,2009-05-20
1946-04-02,1929-11-21
2021-08-10,1903-03-08
1974-04-27,1980-08-15
1939-04-15,1904-08-29
2006-08-08,1998-10-01
1912-08-12,1904-06-30
2019-05-02,1939-10-24
1938-03-14,2004-11-08
1919-09-29,1934-06-09
2020-10-04,1912-03-29
1918-07-22,1903-01-24
1918-03-29,1951-11-03
1902-07-23,1926-04-08
2004-09-06,2004-11-30
1991-09-03,2005-06-15
2020-02-02,1955-08-21
1900-01-04,1943-06-25
1957-10-08,1934-05-19
1995-08-31,1941-08-20
1927-01-18,2015-05-20
2003-10-23,1919-02-11
1911-01-26,1919-05-31
1905-05-23,1989-07-16
2019-03-23,1975-04-03
1950-12-24,2005-04-15
1964-07-26,1910-03-24
1999-11-02,1994-04-28
1976-07-19,1943-08-22
1988-10-22,1949-09-12
1976-05-06,1956-10-16
1950-05-19,1946-03-08
1994-03-02,1943-10-13
1936-12-05,1906-01-16
1910-02-11,2003-07-10
1957-03-22,1980-10-03
1929-04-04,1916-10-25
1908-12-17,1922-09-18
1921-01-16,1913-02-06
1959-06-11,1910-05-18
1997-05-13,1999-06-16
1984-07-15,1918-11-25
1956-11-17,1992-08-17
1947-10-13,1910-11-05
2001-12-14,1905-03-07
1908-11-10,1918-07-30
1928-06-12,1965-07-25
1945-07-12,1901-10-10
1915-08-20,1920-10-24
1907-05-17,1967-05-14
1915-10-07,1912-10-18
2022-09-10,2020-01-20
1923-01-11,1920-12-18
1966-08-14,1916-08-18
1992-05-15,1906-04-18
2010-12-30,1912-10-16
1990-06-19,2007-05-17
1914-05-15,1935-04-05
1972-04-17,2002-09-18
2015-07-10,1926-02-20
1931-07-06,1997-08-12
1941-04-03,1971-12-26
1918-02-03,1929-12-26
2018-09-16,1977-04-19
1923-02-13,1977-04-12
1990-09-14,1914-07-17
2019-01-04,1926-01-21
1920-08-11,1943-02-18
1914-09-05,1986-12-21
1993-12-17,1921-10-30
1975-12-17,2010-01-20
1981-02-27,1990-08-01
1918-06-12,1938-09-16
1954-09-17,1929-04-06
1998-03-30,1954-10-12
2004-02-11,2010-06-18
1926-08-21,2013-08-13
1984-05-29,1972-04-23
1927-07-29,1971-09-07
1903-06-01,1950-12-10
1995-12-05,1920-03-23
1925-05-06,1958-11-08
1990-05-21,1981-06-24
1989-04-02,2011-02-01
1966-09-25,1995-12-10
1974-04-12,1936-04-27
1906-11-02,2014-07-12
1969-05-12,1925-04-16
1925-12-11,1916-11-16
2022-03-09,1971-04-05
1924-04-15,1926-09-15
1955-03-19,1954-09-04
1963-02-22,1923-01-02
1944-01-03,1948-08-06
1985-04-23,1956-10-11
1989-01-30,1995-05-21
1971-02-09,2003-06-16
1927-10-09,1912-03-12
1995-01-27,1913-07-10
1904-08-18,1959-02-03
1962-11-08,1990-10-09
1916-12-14,1903-01-10
2013-01-23,1969-11-07
1955-09-17,1993-11-13
2000-01-01,1929-03-14
2010-07-02,1970-09-19
1912-07-30,1979-06-01
1944-08-25,1915-05-17
1960-02-26,1920-08-27
1931-02-05,1900-05-01
1956-08-10,1935-11-20
2000-05-24,1981-07-08
2008-05-26,1981-06-01
1934-08-23,1979-05-01
1941-12-03,1932-10-09
2020-09-30,1972-02-12
1963-10-15,1913-01-19
1912-11-03,1981-07-26
1993-03-30,1993-09-17
2012-08-24,1971-11-12
1965-09-15,1978-02-07
1957-12-25,1900-10-27
2014-07-08,1980-06-06
1934-01-08,1922-06-18
1926-11-18,1909-04-06
2005-07-21,1991-11-01
1980-01-08,1928-01-06
1950-03-26,1948-05-25
1906-01-06,1953-04-01
1905-11-10,1927-12-02
1942-02-12,1910-03-18
2005-09-12,2021-09-25
2013-08-13,1936-09-21
1926-04-02,2014-03-06
1980-05-19,1905-10-12
1939-07-03,1907-02-26
1952-11-22,1907-06-02
1945-09-29,2009-02-27
1990-05-24,1986-09-10
1912-05-26,1945-04-11
1970-05-21,1916-08-12
1975-08-30,1942-02-25
2004-09-20,1960-08-17
1995-04-15,1974-03-19
2007-07-15,1936-08-08
2011-07-25,1922-03-13
1991-07-28,1989-08-03
2019-05-15,1964-10-15
1906-09-21,1917-08-18
1986-11-29,1902-10-05
1933-09-13,2019-01-19
1926-12-25,1945-01-22
1945-05-05,1986-06-16
1911-07-29,1966-05-17
1986-11-20,1972-11-26
1913-07-06,1983-03-17
1961-12-09,1957-06-01
1955-09-15,1918-02-03
2022-07-09,1998-05-14
1995-07-05,2013-08-28
2002-10-31,1971-10-02
1939-02-03,1923-01-13
1910-06-10,1940-11-10
1978-10-24,1913-06-25
1975-12-22,1981-06-13
1999-09-29,1990-07-25
2019-09-23,1993-04-05
1968-07-30,2020-09-17
2005-07-02,1967-06-09
1919-04-07,1959-07-08
2006-01-03,1928-09-13
2006-05-10,1968-01-26
1944-03-05,1936-07-21
1910-02-21,1966-03-16
1919-07-31,2009-06-21
1906-10-26,1963-11-27
2018-12-27,1975-01-20
1900-11-23,2001-06-12
1993-03-25,2017-09-09
2004-08-14,1996-10-31
2016-03-12,2020-11-28
1908-07-30,2012-06-03
1978-06-23,2005-10-10
2011-05-15,1969-11-24
2010-09-24,1943-08-19
1925-05-09,1993-09-16
2012-12-02,1942-12-14
1938-05-11,1924-08-07
1951-10-15,2003-06-20
1925-12-10,1952-03-16
1931-08-19,1995-09-03
1969-02-13,1935-11-10
1943-05-14,1962-10-23
1904-02-17,2022-01-24
2001-03-13,1979-11-18
1936-01-19,1910-05-02
1942-09-24,1914-04-26
1981-10-13,1932-11-05
1994-11-16,2021-10-12
1984-09-23,1959-10-12
1940-03-01,2001-08-11
1998-10-09,1974-04-17
1989-02-26,1995-02-04
2011-01-21,1932-03-10
1951-06-22,1987-12-26
1993-08-26,1921-12-25
1928-08-30,1934-07-20
1922-04-08,1955-01-28
2007-09-10,1961-10-19
1974-08-19,1937-08-25
1974-09-30,1933-12-03
1944-01-17,2008-06-29
1930-06-01,1998-05-18
1960-04-01,1906-07-16
2009-01-13,1943-07-23
1960-10-09,1957-07-28
2008-12-07,1910-07-15
1943-04-17,1988-11-02
1927-12-14,1934-08-10
1921-08-10,1928-09-04
1972-03-06,2008-11-17
1900-08-23,2019-06-10
2016-11-28,1953-12-05
1983-02-19,1926-12-05
1983-08-06,1961-10-05
1966-06-02,1940-05-03
1947-04-09,1906-10-06
2003-01-16,1978-02-26
1900-11-28,1974-02-19
1985-11-14,1935-01-08
2019-01-13,1915-10-29
1927-11-30,2011-04-24
1911-05-15,2004-01-12
1939-08-04,1925-07-20
1954-03-27,1940-01-01
1941-05-28,1929-03-03
1909-08-13,2002-12-04
1976-03-09,1907-08-08
1913-02-26,1942-10-22
1980-10-28,1928-02-13
1922-02-17,1979-12-30
1946-03-10,1906-03-14
1951-10-17,1910-07-27
1990-03-12,1974-08-07
1915-02-15,1905-10-25
1971-10-17,1965-02-16
2004-03-15,2016-08-26
2010-02-11,1947-01-27
1972-11-12,2002-12-02
1977-10-28,1974-12-14
1902-03-21,1910-02-03
1970-12-14,1969-10-07
1978-07-26,1901-09-14
1958-09-21,1954-05-07
1944-04-04,1992-01-07
1923-04-21,1970-07-30
1939-09-11,1992-05-20
1939-02-21,1904-05-04
1944-03-18,1996-09-02
2002-03-20,1932-02-01
1995-03-19,1910-05-22
1928-09-30,1918-06-23
1907-11-19,2003-01-30
2004-05-09,1957-06-08
2008-10-03,1996-10-31
1982-04-03,1937-05-02
1953-08-07,1931-03-29
1948-01-19,1966-05-05
1977-07-21,1965-01-21
1928-01-28,1903-07-14
2002-08-20,1976-01-04
1921-01-01,1908-11-14
1998-07-22,1903-02-25
1954-02-09,1902-12-15
1978-08-07,1917-02-13
1977-08-17,1972-12-14
2003-09-16,1918-01-21
1990-09-30,1907-05-05
1995-12-13,2002-09-22
1926-08-29,2015-04-10
1927-06-06,1963-09-27
2004-06-10,2019-03-19
1940-12-06,2003-06-13
1909-11-29,2022-08-12
1976-11-16,1951-06-13
1930-10-10,2005-01-24
2011-09-15,1903-09-22
1962-05-28,2005-08-10
1942-01-30,1918-08-30
1945-12-27,1916-04-05
1981-07-28,1938-08-30
1982-06-10,1956-05-14
1908-05-06,1986-09-12
1935-01-22,2012-07-22
1941-04-24,1925-07-26
1962-05-06,1968-05-16
1911-10-12,1940-08-08
1965-06-04,2017-09-26
1962-03-07,1929-11-19
1928-01-02,2001-08-04
1930-03-01,1938-12-02
1999-05-28,1966-09-05
1943-08-29,1925-01-06
1909-10-31,1971-12-05
1974-11-29,1905-04-14
1992-02-22,2009-05-13
1923-08-28,1992-11-18
1948-01-01,2019-03-01
1964-10-18,2019-09-08
1967-04-02,1932-01-07
2000-06-05,1914-11-23
1902-04-27,1949-07-21
2018-09-26,1909-03-05
1922-09-18,1944-06-29
2020-10-25,1935-08-21
1994-07-01,1937-12-05
1949-01-25,2002-09-01
1958-07-01,1997-01-03
1994-08-20,1996-01-20
1931-06-25,1957-02-11
1912-12-09,1996-03-13
1986-08-27,1942-02-07
2005-05-24,1941-07-02
2015-04-02,2015-04-09
1921-03-10,1907-01-10
1962-09-19,1912-02-19
1979-05-08,1971-05-30
1971-06-19,1918-08-25
1964-05-05,1931-07-19
1952-05-02,1957-02-15
1907-11-23,1911-10-20
1952-05-19,1935-09-09
1931-05-28,1920-07-27
1998-09-08,2018-11-25
1994-02-09,1933-07-26
1922-06-03,1953-01-13
1942-08-29,1953-10-22
1977-01-09,2009-03-21
1994-02-16,1992-10-04
2020-08-17,1971-03-15
1983-08-20,1994-08-24
1908-07-30,1986-10-22
1914-01-12,2017-12-08
1910-08-14,1986-04-02
1974-05-25,1908-08-12
1909-11-22,1955-10-07
1935-02-11,1933-07-16
1949-02-28,2017-10-30
1925-07-15,1937-10-21
1978-04-16,1955-04-24
1905-01-15,2021-08-20
1985-06-24,1958-09-20
1966-10-02,1912-12-02
1946-10-13,1923-08-19
1915-11-14,2003-12-13
2013-09-16,1939-07-13
2022-05-01,1965-12-31
1919-09-23,1974-10-25
2022-08-26,1972-12-24
2008-04-01,1913-03-05
1989-10-03,1930-10-30
1912-08-18,1999-05-08
1904-06-13,1998-02-21
1921-10-04,1930-12-12
2013-11-25,1989-09-01
1910-05-01,1929-12-05
1937-07-11,2011-09-07
1942-07-18,2006-10-12
1923-01-05,1978-04-02
1983-03-04,1987-12-09
1952-01-21,1914-03-20
2022-01-27,1991-09-09
1945-05-25,2022-08-15
1945-10-04,1958-03-22
1901-02-11,1965-09-03
1978-10-19,1965-03-19
1932-11-06,1951-03-06
1932-01-29,1918-07-03
1933-02-08,1980-10-20
1977-05-30,1969-05-06
1939-08-24,1974-10-04
1989-02-21,1985-09-30
1982-04-12,1946-01-16
1976-11-05,2003-11-19
1958-08-16,2022-03-28
1903-02-12,1961-04-30
1933-03-03,1981-12-20
1978-11-14,1915-03-26
1912-01-31,1966-10-18
1945-01-18,2002-02-09
1901-09-05,1941-12-21
1959-08-25,1994-02-27
1972-02-26,1939-11-09
2012-05-01,2004-05-03
1995-07-17,1966-01-07
1948-10-10,1910-11-13
1994-10-07,2013-01-08
1918-08-10,1919-04-06
1926-06-09,1936-09-04
1993-12-16,1924-07-03
1955-08-09,1910-05-15
2017-02-11,1988-04-08
1932-05-05,1908-09-02
1914-12-14,1977-11-19
1944-10-09,1919-07-20
1908-12-29,1961-11-06
1905-02-10,1986-08-02
1942-11-12,1926-12-28
1916-12-10,1942-12-30
1979-04-20,1902-01-01
1904-05-03,1902-01-11
1981-07-27,1919-06-25
1975-08-23,1938-01-21
1949-11-06,2015-09-15
1952-07-18,1937-01-14
1997-02-23,1949-01-14
1980-02-22,2003-12-07
1998-11-14,1903-03-04
1940-03-14,1992-05-10
